"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",73.33,
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",36.127,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",30.324,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",37.057,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",77.739,
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",74.275,
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",73.611,
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",31.722,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",34.134,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",35.358,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",32.662,
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",34.331,
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",36.134,
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",2.014,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",4.604,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",4.286,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",48.096,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",48.967,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",48.409,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",23.864,
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",12.367,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",13.661,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",13.026,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",42.49,
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",38.76,
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",37.82,
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",5.395,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",5.569,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",6.231,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CAN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",49.335,
"CAN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",48.302,
"CAN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",49.052,
"CAN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",19.313,
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",19.942,
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",19.909,
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",20.777,
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",20.983,
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",20.3,
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",36.326,
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",34.743,
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",35.205,
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",93.311,
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",86.037,
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",65.444,
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",62.496,
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",64.339,
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",67.561,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",64.506,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",65.52,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",63.901,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",35.248,
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",34.095,
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",32.416,
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",67.78,
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",71.183,
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",70.864,
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",28.831,
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",29.169,
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",29.27,
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",96.044,
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",96.282,
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",95.976,
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",18.971,
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",17.895,
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",16.176,
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",73.959,
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",75.539,
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",78.736,
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",30.242,
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",31.103,
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",31.798,
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",23.491,
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",24.307,
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",24.928,
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",51.493,
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",51.964,
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",58.389,
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",87.181,
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",85.684,
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",83.018,
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",90.293,
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",92.35,
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",3.922,
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",3.516,
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",3.42,
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",83.729,
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",84.135,
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",82.723,
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",12.495,
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",14.003,
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",11.565,
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",86.843,
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",89.117,
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",89.306,
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",22.261,
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",25.725,
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",26.389,
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",67.338,
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",65.669,
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",63.866,
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",57.51,
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",61.24,
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",62.18,
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",50.304,
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",51.399,
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",50.616,
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",52.975,
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",56.741,
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",58.127,
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",85.812,
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",85.241,
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",84.74,
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",55.195,
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",26.824,
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",24.991,
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",63.674,
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",65.257,
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",64.795,
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"ARG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",6.689,
"ARG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",13.963,
"ARG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"ARG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",60.891,
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",76.352,
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",70.943,
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",34.818,
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",33.617,
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",34.952,
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",68.235,
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",67.732,
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",67.539,
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",77.856,
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",78.719,
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",79.102,
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",38.247,
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",34.262,
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",31.586,
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",68.266,
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",67.487,
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",66.397,
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",10.015,
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",10.44,
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",11.279,
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",76.053,
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",75.292,
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",74.76,
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",41.103,
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",69.383,
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",71.406,
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",13.689,
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",19.95,
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",23.846,
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"IND","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"IND","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"IND","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"IND","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"AUT","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",94.605,
"AUT","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",94.431,
"AUT","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",93.769,
"AUT","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"BEL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",10.073,
"BEL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",11.442,
"BEL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",14.206,
"BEL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CZE","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",64.731,
"CZE","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",63.82,
"CZE","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",65.381,
"CZE","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"DNK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",5.807,
"DNK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",5.159,
"DNK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"DNK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"FRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",77.552,
"FRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",77.257,
"FRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",77.838,
"FRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"DEU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",14.032,
"DEU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",13.958,
"DEU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",15.286,
"DEU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"ISL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",8.369,
"ISL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",8.507,
"ISL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",8.264,
"ISL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",34.556,
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",37.504,
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",35.661,
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",32.439,
"CHN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"CHN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"CHN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"CHN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"SAU","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"SAU","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"SAU","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"SAU","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"COL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",42.512,
"COL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",49.785,
"COL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",45.632,
"COL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",36.05,
"LVA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",61.737,
"LVA","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",73.42,
"LVA","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",72.616,
"LVA","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"COL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",57.311,
"COL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",50.14,
"COL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",54.319,
"COL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",63.886,
"LVA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",29.346,
"LVA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",20.066,
"LVA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",22.617,
"LVA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
